LICENSED DRIVERS BY SEX AND RATIO TO POPULATION - 2020 (1),,,,,,,,,,,,
,,,,,,,,,,,,
 January 2022,,,,,,,,,,,,TABLE DL-1C
,LICENSED DRIVERS,,,,,RATIO--LICENSED,POPULATION  (2),,,,DRIVERS,
,,PERCENT,,PERCENT,,DRIVERS/PRIVATE AND,TOTAL,DRIVING AGE (18 AND OVER) 3,,,"PER 1,000","PER 1,000"
STATE,MALE,MALE DRIVERS,FEMALE,FEMALE DRIVERS,TOTAL,COMMERCIAL MOTOR,RESIDENT,MALE (4),FEMALE (4),TOTAL,TOTAL RESIDENT,DRIVING AGE
,DRIVERS,OF TOTAL,DRIVERS,OF TOTAL,DRIVERS,VEHICLES REGISTERED,,,,,POPULATION,POPULATION
Alabama ,1956800,48.4,2086100,51.6,4042900,0.78,4921532,1828314,2005935,3917625,821,1032
Alaska  ,271451,52.32,247421,47.68,518872,0.67,731158,263418,289009,553317,710,938
Arizona ,2877305,50.64,2804190,49.36,5681495,0.96,7421401,2753727,3021251,5662328,766,1003
Arkansas(5),1057402,49.09,1096527,50.91,2153929,0.75,3030522,1111417,1219391,2322502,711,927
California,13730114,50.84,13275188,49.16,27005302,0.88,39368078,14580188,15996656,30465205,686,886
Colorado ,2099231,48.83,2200216,51.17,4299447,0.8,5807719,2173275,2384409,4568613,740,941
Connecticut,1241291,49.48,1267379,50.52,2508670,0.87,3557006,1353291,1484763,2875887,705,872
Delaware,403856,48.7,425370,51.3,829226,0.82,986809,372960,409193,795090,840,1043
Dist. of Col. ,256577,49.26,264288,50.74,520865,1.68,712816,278105,305123,544215,731,957
Florida ,7755134,49.35,7960239,50.65,15715373,0.9,21733312,8336351,9146229,17491848,723,898
Georgia ,3583553,47.64,3938197,52.36,7521750,0.89,10710017,3914869,4295198,8275264,702,909
Hawaii,470671,51.07,450876,48.93,921547,0.74,1407006,529856,581332,1137154,655,810
Idaho ,651522,50.69,633809,49.31,1285331,0.66,1826913,656067,719803,1431897,704,898
Illinois,4059059,49.35,4166239,50.65,8225298,0.78,12587530,4677568,5131994,9868245,653,834
Indiana ,2223358,49.05,2309350,50.95,4532708,0.73,6754953,2474078,2714436,5218979,671,869
Iowa ,1124007,49.54,1144909,50.46,2268916,0.61,3163561,1162531,1275471,2456703,717,924
Kansas,969756,48.38,1034546,51.62,2004302,0.75,2913805,1057177,1159882,2231518,688,898
Kentucky ,1425392,49.06,1480240,50.94,2905632,0.68,4477251,1657170,1818164,3493482,649,832
Louisiana ,1642187,48.06,1774461,51.94,3416648,0.92,4645318,1699467,1864571,3541104,736,965
Maine ,517826,49.42,530067,50.58,1047893,0.94,1350141,525462,576511,1120338,776,935
