LICENSED DRIVERS BY SEX AND RATIO TO POPULATION - 2022 (1),,,,,,,,,,,,
24-Jan,,,,,,,,,,,,TABLE DL-1C
STATE,LICENSED DRIVERS,,,,,RATIO--LICENSED,POPULATION  (3),,,,DRIVERS,
,,PERCENT,,PERCENT,,DRIVERS/PRIVATE AND,TOTAL,DRIVING AGE (16 AND OVER),,,"PER 1,000","PER 1,000"
,MALE,MALE DRIVERS,FEMALE,FEMALE DRIVERS,TOTAL,COMMERCIAL MOTOR,RESIDENT,MALE,FEMALE,TOTAL,TOTAL RESIDENT,DRIVING AGE
,DRIVERS,OF TOTAL,DRIVERS,OF TOTAL,DRIVERS,VEHICLES REGISTERED,,,,,POPULATION,POPULATION
Alabama,1979339,48.42,2108546,51.58,4087885,0.75,5074296,1959932,2133808,4093740,806,999
Alaska(2),271585,52.11,249635,47.89,521220,0.79,733583,305057,270877,575934,711,905
Arizona,2954582,50.53,2893079,49.47,5847661,0.98,7359197,2966110,2995623,5961733,795,981
Arkansas(4),1133111,49.12,1173810,50.88,2306921,0.66,3045637,1190700,1239900,2430600,757,949
California,14034707,50.79,13597396,49.21,27632103,0.91,39029342,15715745,15836963,31552708,708,876
Colorado(6),2161648,48.28,2315799,51.72,4477447,0.89,5839926,2419496,2356821,4776317,767,937
Connecticut(7),1297413,49.35,1331362,50.65,2628775,0.94,3626205,1450138,1536317,2986455,725,880
Delaware,418567,48.55,443555,51.45,862122,1.88,1018396,401879,433486,835365,847,1032
Dist. of Col.(4),251467,49.21,259518,50.79,510985,1.48,671803,262369,295178,557547,761,916
Florida,8150288,49.41,8345268,50.59,16495556,0.85,22244823,9014338,9444715,18459053,742,894
Georgia,3355651,45.59,4005048,54.41,7360699,0.82,10912876,4198479,4509831,8708310,674,845
Hawaii(7),475654,50.76,461422,49.24,937076,0.77,1440196,588800,586867,1175667,651,797
Idaho,706459,50.73,686185,49.27,1392644,0.69,1939033,770505,760224,1530729,718,910
Illinois,4212142,49.5,4297276,50.5,8509418,0.83,12582032,5010175,5189423,10199598,676,834
Indiana,2283148,49.06,2370660,50.94,4653808,0.75,6833037,2684311,2771755,5456066,681,853
Iowa(5),1167490,49.6,1186556,50.4,2354046,0.63,3200517,1283751,1287174,2570925,736,916
Kansas,1020937,49.74,1031536,50.26,2052473,0.8,2937150,1164416,1166426,2330842,699,881
Kentucky,1462549,48.86,1531001,51.14,2993550,0.71,4512310,1779867,1846644,3626511,663,825
Louisiana,1629912,47.91,1772035,52.09,3401947,0.76,4590241,1765329,1891212,3656541,741,930
Maine,523581,49.37,536880,50.63,1060461,0.82,1385340,573617,596444,1170061,765,906
Maryland(6),2156185,49.02,2242654,50.98,4398839,0.91,6164660,2392865,2581484,4974349,714,884
Massachusetts,2398228,49.05,2490841,50.95,4889069,0.95,6981974,2817207,2988258,5805465,700,842
Michigan(6),3834055,49.3,3942939,50.7,7776994,0.84,10034113,4027067,4152360,8179427,775,951
Minnesota(6),2068629,50.24,2049157,49.76,4117786,0.73,5717184,2286421,2293022,4579443,720,899
Mississippi,964382,47.11,1082687,52.89,2047069,0.9,2940057,1121457,1219835,2341292,696,874
Missouri,2091452,48.75,2198939,51.25,4290391,0.8,6177957,2428875,2545917,4974792,694,862
Montana,443707,50.95,427175,49.05,870882,0.39,1122867,463102,453187,916289,776,950
Nebraska,725613,50.05,724205,49.95,1449818,0.75,1967923,773380,774410,1547790,737,937
Nevada(6),1127898,51.02,1082791,48.98,2210689,0.84,3177772,1292065,1279958,2572023,696,860
New Hampshire(4)(6),594386,50.59,580440,49.41,1174826,0.83,1395231,586481,590919,1177400,842,998
New Jersey(6),3291206,49.61,3342730,50.39,6633936,1.12,9261699,3671563,3839420,7510983,716,883
New Mexico(6),744389,49.34,764186,50.66,1508575,0.84,2113344,842275,868184,1710459,714,882
New York,6231878,51.57,5852797,48.43,12084675,1.33,19677151,7819238,8335003,16154241,614,748
North Carolina,3834209,48.05,4146053,51.95,7980262,0.9,10698973,4194870,4477069,8671939,746,920
North Dakota,271617,48.23,291544,51.77,563161,0.53,779261,315761,301949,617710,723,912
Ohio,4116965,48.98,4288829,51.02,8405794,0.77,11756058,4658551,4847982,9506533,715,884
Oklahoma,1188914,46.5,1367695,53.5,2556609,0.77,4019800,1573447,1605405,3178852,636,804
Oregon(6),1537085,49.5,1567831,50.5,3104916,0.76,4240137,1742723,1766741,3509464,732,885
Pennsylvania,4514209,49.47,4610053,50.53,9124262,0.85,12972008,5216873,5443468,10660341,703,856
Rhode Island,370152,48.68,390262,51.32,760414,0.96,1093734,446284,469735,916019,695,830
South Carolina,1947328,47.59,2144322,52.41,4091650,0.85,5282634,2067629,2226965,4294594,775,953
South Dakota,344306,50.65,335405,49.35,679711,0.52,909824,363657,353308,716965,747,948
Tennessee,2430645,48.02,2630643,51.98,5061288,0.76,7051339,2768908,2930695,5699603,718,888
Texas,9278918,49.52,9460062,50.48,18738980,0.82,30029572,11671545,11799896,23471441,624,798
Utah,1136679,50.46,1115977,49.54,2252656,0.8,3380800,1292583,1268261,2560844,666,880
Vermont(6),237693,49.68,240728,50.32,478421,0.78,647064,270374,277676,548050,739,873
Virginia,2745890,47.04,3091257,52.96,5837147,0.77,8683619,3453468,3587810,7041278,672,829
Washington(6),3036029,50.97,2920019,49.03,5956048,0.78,7785786,3183176,3144875,6328051,765,941
West Virginia,566132,49.3,582274,50.7,1148406,0.71,1775156,726955,739311,1466266,647,783
Wisconsin,2182423,49.89,2192159,50.11,4374582,0.78,5892539,2395809,2407021,4802830,742,911
Wyoming(5),220842,51.13,211058,48.87,431900,0.49,581381,237393,228490,465883,743,927
Total,116121874,49.4,118964279,50.6,235086153,0.84,333287557,132607016,136948302,269555318,705,872
(1) Includes restricted drivers and graduated driver licenses (GDLs).,,,,,,,,,,,,
"(2) State did not provide data for older age groups (i.e., ages 70 and older). FHWA estimated data based on Census Bureau population data for the applicable State and age groups.",,,,,,,,,,,,
"(3) Data Source: Bureau of the Census, Estimates of Resident Population Age 18 and Older, 2022.",,,,,,,,,,,,
(4) FHWA republished 2021 data in lieu of 2022 data due to unresolved data quality concerns. 2022 data will be re-evaluated upon receipt of 2023 data.,,,,,,,,,,,,
(5) FHWA confirmed that the State issues licenses for special circumstances to Under-16 individuals. Data is now being published accordingly.,,,,,,,,,,,,
"(6) Per FHWA’s guidance due to current reporting constraints, the State has equally distributed its gender-neutral drivers to the Male and Female driver count categories.",,,,,,,,,,,,
"(7) Due to current reporting constraints, FHWA instructed the State to report its gender-neutral drivers by equally distributing them to the Male and Female driver count categories. The State elected to not report these drivers due FHWA’s reporting constraints.",,,,,,,,,,,,
