skills,bfsi,education,it ,pharma & healthcare,"retail, cpg, & e-commerce",others,average
machine learning,90%,88.9%,84.3%,70.0%,78.9%,84.8%,82.8%
statistics,90.0%,66.7%,81.4%,90.0%,68.4%,72.7%,78.2%
communition skills,70.0%,50.0%,81.4%,80.0%,73.7%,66.7%,70.3%
programming knowledge,66.7%,66.7%,81.4%,40.0%,68.4%,60.6%,64.0%
data visualisation,56.7%,38.9%,60.0%,60.0%,47.4%,57.6%,53.4%
data wrangling and pre-processing,53.3%,55.6%,68.6%,60.0%,63.2%,60.6%,60.2%
business acumen,43.3%,11.1%,41.4%,50.0%,42.1%,30.3%,36.4%
deep learning,43.3%,27.8%,42.9%,30.0%,26.3%,51.5%,37.0%
presentation skills,43.3%,27.8%,45.7%,70.0%,73.7%,45.5%,51.0%
domain expertise,36.7%,22.2%,37.1%,60.0%,26.3%,45.5%,38.0%
linear algebra & calculus,36.7%,27.8%,34.3%,40.0%,21.1%,48.5%,34.7%
model deployment,36.7%,11.1%,38.6%,50.0%,26.3%,48.5%,35.2%
big data,26.7%,22.2%,12.9%,60.0%,15.8%,30.3%,28.0%
